doc,sdg,score_a,score_b,score_c,score_a_norm,score_b_norm,score_c_norm,sc,sc_rank,rank_a,rank_b,rank_c,rc,rc_rank,fuzz,rc2,rc_rank2
1998wess_clean,4,0.0003376342399348141,0.008060329767957668,0.0085,0.0015233293444951517,0.015070322251874588,0.013406940063091484,0.005632654669297494,14,14,14,9,12.333333333333334,12,540,473.00027959734456,11
1998wess_clean,5,0.02306589650908282,0.0029937088529018835,0.0043,0.10426876645498964,0.0,0.006782334384858044,0.010119868453994901,11,9,17,11,12.333333333333334,12,732,491.0001308773049,12
1998wess_clean,6,1.3977018654113908e-06,0.00856251472757954,0.0,3.337641330278433e-06,0.01656403755018262,0.0,0.0028546374764816507,17,16,13,15,14.666666666666666,17,-685,649.999513502372,17
1998wess_clean,7,0.018262774669624376,0.026030044771841808,0.0128,0.08255576230860535,0.06852002777023153,0.02018927444794953,0.01903093981382206,10,11,8,7,8.666666666666666,9,-396,233.99988504980334,9
1998wess_clean,8,0.17968994097263807,0.16394361531738968,0.634,0.8123037987797355,0.4787346433638205,1.0,0.3258778520966759,1,2,2,1,1.6666666666666667,2,-906,8.99999748552344,2
1998wess_clean,9,0.04679962874679968,0.02920134652279719,0.0128,0.21155953352510512,0.07795285097648587,0.02018927444794953,0.029600325089865626,8,6,7,7,6.666666666666667,5,377,134.00002435371456,5
1998wess_clean,10,0.16920422788045375,0.08283440173495468,0.051100000000000007,0.7649020589408674,0.23748075704065927,0.08059936908517351,0.10104620987180284,4,3,4,4,3.6666666666666665,4,870,41.00000862143555,4
1998wess_clean,11,3.661373518416626e-05,0.01233618204731519,0.0085,0.00016253532630000763,0.02778855652115796,0.013406940063091484,0.006957598594166452,13,15,12,9,12.0,10,468,450.00028532532974,10
1998wess_clean,12,0.04127892089738767,0.08225088221277889,0.0043,0.18660260833522177,0.23574511757070846,0.006782334384858044,0.04260993437005552,5,7,5,11,7.666666666666667,7,532,195.00005074741756,7
1998wess_clean,13,0.10389072464330883,0.0056816716908398655,0.0,0.46964567902715093,0.007995164202716504,0.0,0.0365241321113829,6,5,16,15,12.0,10,929,506.0000380386116,14
1998wess_clean,14,0.01883805188215021,0.007611124202292926,0.0,0.08515636185998009,0.013734190588306319,0.0,0.008816392028147711,12,10,15,15,13.333333333333334,15,-252,549.999941821326,15
1998wess_clean,15,0.0005679014664363615,0.014319061665913754,0.0,0.00256427592276647,0.03368649823417549,0.0,0.004962321044116705,15,13,10,15,12.666666666666666,14,730,494.0003166061872,13
1998wess_clean,16,0.00957530996409846,0.0681449320245293,0.0128,0.04328318845403087,0.19378791994928907,0.02018927444794953,0.030173413996209254,7,12,6,7,8.333333333333334,8,-704,228.99974804491342,8
1998wess_clean,17,0.2212101155733768,0.339192287116585,0.1404,1.0,1.0,0.22145110410094637,0.23360080089665392,2,1,1,2,1.3333333333333333,1,-831,6.0,1
1999wess_part2,1,0.03170506687957748,0.08861580197892245,0.0481,0.14856168355495644,0.4348112830996261,0.07637345188948873,0.05614028961949998,6,10,5,5,6.666666666666667,7,-865,149.99980079178368,6
1999wess_part2,2,0.10270246630534122,0.14335096649742698,0.0096,0.48124197543377045,0.7133162418941339,0.015242934264845983,0.08521781093425607,4,4,2,8,4.666666666666667,3,-417,83.99999074949052,3
1999wess_part2,3,4.7407924016859626e-07,0.07068753723563684,0.0096,0.0,0.3435881968531648,0.015242934264845983,0.026762670438292335,11,17,6,8,10.333333333333334,10,851,389.00069685338883,12
1999wess_part2,4,0.02324440859603145,0.048714040512017324,0.0,0.1089166502153889,0.23178205077838704,0.0,0.023986149702682924,13,11,8,14,11.0,12,-870,380.99974745804457,11
1999wess_part2,5,0.012672641554790871,0.04581599635643127,0.0144,0.05937936330909589,0.21703614336701363,0.022864401397268978,0.024296212637074047,12,14,9,7,10.0,9,592,326.00030632070064,9
1999wess_part2,6,9.308757647485445e-06,0.005532497673229435,0.0,4.139762040544639e-05,0.012064545317448348,0.0,0.0018472688102923066,17,16,15,14,15.0,16,-409,676.9997094498267,16
1999wess_part2,7,0.0092276310854239,0.004297565156883579,0.0,0.04323670037011114,0.005780927964610666,0.0,0.004508398747435826,16,15,16,14,15.0,16,223,677.0001360347412,17
1999wess_part2,8,0.1262941505232933,0.09385487124228506,0.6297999999999999,0.5917881145180286,0.4614688583923995,1.0,0.2833163405885261,1,3,3,1,2.3333333333333335,2,197,19.000001949787638,2
1999wess_part2,9,0.08013260427421427,0.033886548248530296,0.10099999999999999,0.3754839005055337,0.15633639973860158,0.16036837091140047,0.07167305084091485,5,5,11,2,6.0,5,434,150.0000175883305,7
1999wess_part2,10,0.21341076966604963,0.04049167302167155,0.0625,1.0,0.18994477598006482,0.09923785328675772,0.10546748089590706,3,1,10,4,5.0,4,-645,116.99999985148325,5
1999wess_part2,11,0.04120510611323096,0.05973355543061717,0.0048,0.193077058071127,0.2878518475048145,0.007621467132422992,0.03524622051461604,9,9,7,10,8.666666666666666,8,-42,229.99999252103765,8
1999wess_part2,12,0.0701513791869586,0.028551639777916204,0.0,0.3287137807237747,0.12919117277434283,0.0,0.03290100632162494,10,7,13,14,11.333333333333334,13,894,414.00008563014205,13
1999wess_part2,13,0.07928664086881328,0.03199551825170532,0.0,0.37151987710603057,0.14671440926907686,0.0,0.03709405304017286,8,6,12,14,10.666666666666666,11,434,376.00002814975755,10
1999wess_part2,14,0.014681675483653043,0.003161427241845392,0.0,0.06879331366860397,0.0,0.0,0.005947700908499478,15,13,17,14,14.666666666666666,15,507,654.0002201878299,15
1999wess_part2,15,0.015604347441910464,0.010511745579135924,0.0,0.07311677873724264,0.037400090484089876,0.0,0.008705364340348796,14,12,14,14,13.333333333333334,14,-226,535.999919014321,14
