doc_x,sdg_x,score_a_norm,fuzz_x,rc2_x,rc_rank2_x,index1,doc_y,sdg_y,score_b_norm,fuzz_y,rc2_y,rc_rank2_y,doc,sdg,score_c_norm,fuzz,rc2,rc_rank2,dispersion
policybrief22,1,0.00484556870470366,36,305.0000082916288,9,2951,policybrief22,9,0.15909090909090903,-270,133.99999726820272,6,policybrief22,2,0.0,975,339.0000932488373,10,0.008187503653716706
policybrief22,6,0.0007302965690928039,89,486.00002586897256,13,2952,policybrief22,2,0.11447811447811446,975,339.0000932488373,10,policybrief22,3,0.0,-865,680.9993854247274,17,0.004340723017767842
policybrief22,5,0.0007273808461830292,42,569.0000150585272,15,2953,policybrief22,15,0.09595959595959597,763,257.0001018163915,7,policybrief22,4,0.0,-133,562.9999422666048,14,0.00304632465583861
policybrief22,4,0.000121152057765708,-133,562.9999422666048,14,2954,policybrief22,14,0.040404040404040394,-124,626.9998984152334,16,policybrief22,5,0.0,42,569.0000150585272,15,0.0005425353753851437
policybrief22,8,3.7617278556701986e-05,-481,389.9997511810356,12,2955,policybrief22,6,0.03535353535353535,89,486.00002586897256,13,policybrief22,6,0.0,89,486.00002586897256,13,0.00041618132442198727
policybrief22,16,2.1360033557861084e-06,851,355.00051867596653,11,2956,policybrief22,4,0.01515151515151515,-133,562.9999422666048,14,policybrief22,8,0.0,-481,389.9997511810356,12,7.651201742063155e-05
policybrief22,3,1.4186631422564675e-07,-865,680.9993854247274,17,2957,policybrief22,3,0.0,-865,680.9993854247274,17,policybrief22,11,0.0,559,299.00009954149317,8,6.708683703989981e-15
policybrief22,14,0.0,-124,626.9998984152334,16,2958,policybrief22,5,0.0,42,569.0000150585272,15,policybrief22,14,0.0,-124,626.9998984152334,16,
policybrief21,13,1.0,358,83.00000006371509,4,2959,policybrief21,17,1.0,-630,8.999998253269487,1,policybrief21,13,1.0,358,83.00000006371509,4,
policybrief21,17,0.24719301359635917,-630,8.999998253269487,1,2960,policybrief21,7,0.9166666666666665,-85,28.99999811440411,2,policybrief21,17,0.23083432052800812,-630,8.999998253269487,1,0.1531380976673772
policybrief21,12,0.2094014958486936,-115,201.99999885197116,7,2961,policybrief21,11,0.6249999999999999,-871,296.9996883247936,9,policybrief21,7,0.15383313589439837,-85,28.99999811440411,2,0.06630136218531997
policybrief21,7,0.19217280857822913,-85,28.99999811440411,2,2962,policybrief21,1,0.6071428571428572,760,90.00007248260486,5,policybrief21,8,0.15383313589439837,-855,172.9998030153813,6,0.06319329584759809
policybrief21,10,0.10976189406241149,57,75.00000229574258,3,2963,policybrief21,10,0.5476190476190476,57,75.00000229574258,3,policybrief21,1,0.07700118463360975,760,90.00007248260486,5,0.06904555399399637
policybrief21,9,0.056377295883598584,597,216.0000385470236,8,2964,policybrief21,9,0.5357142857142856,597,216.0000385470236,8,policybrief21,10,0.07700118463360975,57,75.00000229574258,3,0.07343450061836121
policybrief21,1,0.02977503448511055,760,90.00007248260486,5,2965,policybrief21,12,0.5178571428571427,-115,201.99999885197116,7,policybrief21,2,0.0,153,521.0001086411702,14,0.08454778626660678
policybrief21,15,0.007504865982257805,-455,376.9999392494592,10,2966,policybrief21,8,0.4047619047619047,-855,172.9998030153813,6,policybrief21,3,0.0,844,409.0002451849103,11,0.05361694623664513
policybrief21,4,0.002587492595664534,976,481.00017439672047,13,2967,policybrief21,13,0.39285714285714296,358,83.00000006371509,4,policybrief21,4,0.0,976,481.00017439672047,13,0.05110897162117116
policybrief21,8,0.001273020662246807,-855,172.9998030153813,6,2968,policybrief21,16,0.3690476190476189,330,469.0002011488027,12,policybrief21,5,0.0,-702,595.9996363888929,16,0.045242653487307445
